Date,Microsoft,SANDP,CPI,Industrial production,USTB3M,USTB6M,USTB1Y,USTB3Y,USTB5Y,USTB10Y,M1MONEY SUPPLY,CONSUMER CREDIT,BAA-AAA SPREAD
Mar-86,27.5,238.9,108.8,54.8525,7.01,7.1,7.22,7.51,7.66,8.01,624.3,613376.62,1.50
Apr-86,32.25,235.52,108.6,54.8901,6.5,6.59,6.67,7.03,7.22,7.39,647,619657.73,1.40
May-86,35,247.35,108.9,54.9861,6.29,6.43,6.56,7.07,7.21,7.44,645.7,625819.96,1.20
Jun-86,30.75,250.84,109.5,54.8093,6.62,6.79,7,7.74,8.02,8.23,662.8,630055.83,1.21
Jul-86,28.5,236.12,109.5,55.1631,6.14,6.2,6.36,6.99,7.21,7.35,673.4,635150.95,1.28
Aug-86,28.5,252.93,109.7,55.0442,6,6.11,6.27,6.89,7.1,7.41,678.4,638904.39,1.46
Sep-86,28.25,231.32,110.2,55.1398,5.35,5.48,5.66,6.35,6.63,7.18,684.5,646023.16,1.31
Oct-86,38.75,243.98,110.3,55.3932,5.33,5.57,5.79,6.65,6.93,7.43,692.2,653787.29,1.38
Nov-86,49.75,249.22,110.4,55.6496,5.41,5.58,5.76,6.48,6.76,7.31,708.8,653767.3,1.39
Dec-86,48.25,242.17,110.5,56.1365,5.57,5.67,5.78,6.37,6.61,7.09,739.8,654750.24,1.48
Jan-87,73.12,274.08,111.2,55.9547,5.8,5.89,5.97,6.54,6.79,7.2,737.1,653267.48,1.36
Feb-87,76.75,284.2,111.6,56.678,5.78,5.85,5.92,6.53,6.74,7.22,717.1,652532.3,1.27
Mar-87,96.75,291.7,112.1,56.7669,5.71,5.8,5.94,6.52,6.71,7.18,723.1,651197.67,1.25
Apr-87,104,288.36,112.7,57.1074,5.74,6.02,6.18,6.86,7.09,7.56,752,656401.42,1.19
May-87,115.25,290.1,113.1,57.498,5.87,6.35,6.76,7.71,7.92,8.32,739.3,658470.03,1.18
Jun-87,102,304,113.5,57.8001,5.89,6.4,6.91,8,8.19,8.58,743.8,662897.5,1.20
Jul-87,94,318.66,113.8,58.1706,5.86,6.16,6.71,7.72,7.96,8.35,746.2,667659.79,1.19
Aug-87,118.75,329.8,114.4,58.5913,6.06,6.4,6.96,8.02,8.3,8.75,744.2,672225.14,1.13
Sep-87,66.25,321.83,115,58.747,6.41,6.68,7.41,8.41,8.69,9.18,744.5,676211.16,1.13
Oct-87,49.75,251.79,115.3,59.638,6.86,7.23,7.88,8.89,9.17,9.61,753.2,681184.46,1.10
Nov-87,44.75,230.3,115.4,59.9544,5.81,6.39,6.87,7.96,8.32,8.84,755.5,684710.04,1.22
Dec-87,54.25,247.08,115.4,60.2339,5.59,6.46,7.02,8.04,8.4,8.98,765.4,686318.77,1.18
Jan-88,55.75,257.07,115.7,60.26,5.93,6.58,7.15,8.08,8.38,8.85,764.2,692270.95,1.19
Feb-88,59.38,267.82,116,60.5044,5.86,6.35,6.65,7.42,7.73,8.2,744.5,696387.29,1.22
Mar-88,56.5,258.89,116.5,60.6476,5.8,6.14,6.63,7.33,7.63,8.17,751.6,700701.2,1.18
Apr-88,54.5,261.33,117.1,60.9699,5.91,6.32,6.78,7.66,8.03,8.57,777.9,705868.05,1.23
May-88,58,262.16,117.5,60.9173,6.35,6.74,7.23,8.06,8.39,8.93,763.4,710045.85,1.14
Jun-88,67,273.5,118,61.0666,6.66,7.13,7.59,8.34,8.61,9.07,778.5,713189.19,1.14
Jul-88,59.5,272.02,118.5,61.1463,6.78,7.09,7.52,8.21,8.46,8.86,785.5,716113.02,1.15
Aug-88,50,261.52,119,61.4037,7.12,7.5,7.89,8.52,8.67,9.04,781,721535.58,1.10
Sep-88,52.25,271.91,119.8,61.193,7.52,7.87,8.24,8.79,8.92,9.21,779.7,722947.69,1.08
Oct-88,49,278.97,120.2,61.5135,7.5,7.88,8.13,8.48,8.57,8.83,780.8,726105.33,0.90
